type,assay_type,layout,field,size
Parameter_setting_5,DNA-Seq,PE,Other,25150829
Parameter_setting_5,DNA-Seq,PE,Unmapped Read Sequence,0
Parameter_setting_5,DNA-Seq,PE,Quality Scores of Unmapped Reads,0
Parameter_setting_5,DNA-Seq,PE,Tags,140510225
Parameter_setting_1,DNA-Seq,SE,Mapped Read Sequence,65100245
Parameter_setting_1,DNA-Seq,SE,Quality Scores of Mapped Reads,9115497900
Parameter_setting_1,DNA-Seq,SE,Position Information,20093249
Parameter_setting_1,DNA-Seq,SE,SAM Format Flag,26560005
Parameter_setting_1,DNA-Seq,SE,ABRIDGE Index,37465
Parameter_setting_1,DNA-Seq,SE,Read Names of Mapped Reads,878620829
Parameter_setting_1,DNA-Seq,SE,Other,80804269
Parameter_setting_1,DNA-Seq,SE,Unmapped Read Sequence,155463298
Parameter_setting_1,DNA-Seq,SE,Quality Scores of Unmapped Reads,155463298
Parameter_setting_1,DNA-Seq,SE,Tags,142077447
Parameter_setting_2,DNA-Seq,SE,Mapped Read Sequence,65100245
Parameter_setting_2,DNA-Seq,SE,Quality Scores of Mapped Reads,170185538
Parameter_setting_2,DNA-Seq,SE,Position Information,20093249
Parameter_setting_2,DNA-Seq,SE,SAM Format Flag,26560005
Parameter_setting_2,DNA-Seq,SE,ABRIDGE Index,37471
Parameter_setting_2,DNA-Seq,SE,Read Names of Mapped Reads,878623124
Parameter_setting_2,DNA-Seq,SE,Other,20375331
Parameter_setting_2,DNA-Seq,SE,Unmapped Read Sequence,155463298
Parameter_setting_2,DNA-Seq,SE,Quality Scores of Unmapped Reads,155463298
Parameter_setting_2,DNA-Seq,SE,Tags,142077447
Parameter_setting_3,DNA-Seq,SE,Mapped Read Sequence,65100245
Parameter_setting_3,DNA-Seq,SE,Quality Scores of Mapped Reads,70449435
Parameter_setting_3,DNA-Seq,SE,Position Information,20093249
Parameter_setting_3,DNA-Seq,SE,SAM Format Flag,26560005
Parameter_setting_3,DNA-Seq,SE,ABRIDGE Index,26364
Parameter_setting_3,DNA-Seq,SE,Read Names of Mapped Reads,878623124
Parameter_setting_3,DNA-Seq,SE,Other,20375181
Parameter_setting_3,DNA-Seq,SE,Unmapped Read Sequence,155463298
Parameter_setting_3,DNA-Seq,SE,Quality Scores of Unmapped Reads,155463298
Parameter_setting_3,DNA-Seq,SE,Tags,142077447
Parameter_setting_4,DNA-Seq,SE,Mapped Read Sequence,47854237
Parameter_setting_4,DNA-Seq,SE,Quality Scores of Mapped Reads,62440126
Parameter_setting_4,DNA-Seq,SE,Position Information,20093249
Parameter_setting_4,DNA-Seq,SE,SAM Format Flag,20857947
Parameter_setting_4,DNA-Seq,SE,ABRIDGE Index,26359
Parameter_setting_4,DNA-Seq,SE,Read Names of Mapped Reads,878623124
Parameter_setting_4,DNA-Seq,SE,Other,16380819
Parameter_setting_4,DNA-Seq,SE,Unmapped Read Sequence,155463298
Parameter_setting_4,DNA-Seq,SE,Quality Scores of Unmapped Reads,155463298
Parameter_setting_4,DNA-Seq,SE,Tags,142077447
Parameter_setting_5,DNA-Seq,SE,Mapped Read Sequence,47854237
Parameter_setting_5,DNA-Seq,SE,Quality Scores of Mapped Reads,62440126
Parameter_setting_5,DNA-Seq,SE,Position Information,20093249
Parameter_setting_5,DNA-Seq,SE,SAM Format Flag,20857947
Parameter_setting_5,DNA-Seq,SE,ABRIDGE Index,26359
Parameter_setting_5,DNA-Seq,SE,Read Names of Mapped Reads,878623124
Parameter_setting_5,DNA-Seq,SE,Other,14304121
Parameter_setting_5,DNA-Seq,SE,Unmapped Read Sequence,0
Parameter_setting_5,DNA-Seq,SE,Quality Scores of Unmapped Reads,0
Parameter_setting_5,DNA-Seq,SE,Tags,142077447
